Proteome_ID	corr	a_type	c_type	c_name	code	kingdom
UP000008243	0.6571567193906617	codon	spearman	Spearman	SGCode	Archaea
UP000001018	0.597415199446056	codon	spearman	Spearman	SGCode	Archaea
UP000002315	0.4699666235642308	codon	spearman	Spearman	SGCode	Archaea
UP000001400	0.4396975867922973	codon	spearman	Spearman	SGCode	Archaea
UP000002613	0.5042184283324712	codon	spearman	Spearman	SGCode	Archaea
UP000002376	0.6356497722106037	codon	spearman	Spearman	SGCode	Archaea
UP000001931	0.4803218203546291	codon	spearman	Spearman	SGCode	Archaea
UP000012076	0.4841698273184661	codon	spearman	Spearman	SGCode	Archaea
UP000001024	0.6053807354386702	codon	spearman	Spearman	SGCode	Archaea
UP000002654	0.7368120793168025	codon	spearman	Spearman	SGCode	Archaea
UP000001488	0.5790944666630438	codon	spearman	Spearman	SGCode	Archaea
UP000012672	0.4549525730820694	codon	spearman	Spearman	SGCode	Archaea
UP000006794	0.6579532729899231	codon	spearman	Spearman	SGCode	Archaea
UP000002408	0.6945947385559478	codon	spearman	Spearman	SGCode	Archaea
UP000001941	0.7623017944931675	codon	spearman	Spearman	SGCode	Archaea
UP000058290	0.3685995363635043	codon	spearman	Spearman	SGCode	Archaea
UP000014070	0.3887359415948029	codon	spearman	Spearman	SGCode	Archaea
UP000009079	0.521189187129804	gc	spearman	Spearman	SGCode	Archaea
UP000002439	0.6446287314500209	gc	spearman	Spearman	SGCode	Archaea
UP000001686	0.6354850615003751	gc	spearman	Spearman	SGCode	Archaea
UP000000792	0.5737652893402667	gc	spearman	Spearman	SGCode	Archaea
UP000002698	0.6598681813660968	gc	spearman	Spearman	SGCode	Archaea
UP000001059	0.6042441891724191	gc	spearman	Spearman	SGCode	Archaea
UP000001974	0.6575822638786855	gc	spearman	Spearman	SGCode	Archaea
UP000000242	0.6461526764416284	gc	spearman	Spearman	SGCode	Archaea
UP000005877	0.6271033640465332	gc	spearman	Spearman	SGCode	Archaea
UP000007490	0.4527538579168486	gc	spearman	Spearman	SGCode	Archaea
UP000009227	0.4714572615549074	gc	spearman	Spearman	SGCode	Archaea
UP000000554	0.6537724013996665	gc	spearman	Spearman	SGCode	Archaea
UP000001068	0.503079467001639	gc	spearman	Spearman	SGCode	Archaea
UP000000578	0.430514460129151	gc	spearman	Spearman	SGCode	Archaea
UP000007722	0.5013779022389051	gc	spearman	Spearman	SGCode	Archaea
UP000002457	0.6857752462234263	gc	spearman	Spearman	SGCode	Archaea
UP000000254	0.5928146017353619	gc	spearman	Spearman	SGCode	Archaea
UP000001975	0.5463342794913297	gc	spearman	Spearman	SGCode	Archaea
UP000001746	0.6545343738954703	gc	spearman	Spearman	SGCode	Archaea
UP000000805	0.5303328570794497	gc	spearman	Spearman	SGCode	Archaea
UP000006565	0.7078724486017368	gc	spearman	Spearman	SGCode	Archaea
UP000001137	0.7474950183835347	gc	spearman	Spearman	SGCode	Archaea
UP000000262	0.5676695093738363	gc	spearman	Spearman	SGCode	Archaea
UP000000590	0.5714793718528554	gc	spearman	Spearman	SGCode	Archaea
UP000000346	0.7535907983499651	gc	spearman	Spearman	SGCode	Archaea
UP000005223	0.6088160241472418	gc	spearman	Spearman	SGCode	Archaea
UP000001826	0.5836709317857162	gc	spearman	Spearman	SGCode	Archaea
UP000007807	0.5931029061721639	gc	spearman	Spearman	SGCode	Archaea
UP000006622	0.6187216665926913	gc	spearman	Spearman	SGCode	Archaea
UP000000641	0.6621540988535084	gc	spearman	Spearman	SGCode	Archaea
UP000011511	0.5242504124044787	gc	spearman	Spearman	SGCode	Archaea
UP000002071	0.631675199021356	gc	spearman	Spearman	SGCode	Archaea
UP000000365	0.5989103817017923	gc	spearman	Spearman	SGCode	Archaea
UP000001013	0.5547159769451715	gc	spearman	Spearman	SGCode	Archaea
UP000000663	0.5661455643822286	gc	spearman	Spearman	SGCode	Archaea
UP000002487	0.6309132265255523	gc	spearman	Spearman	SGCode	Archaea
UP000000391	0.5394765270290954	gc	spearman	Spearman	SGCode	Archaea
UP000001169	0.6431047864584132	gc	spearman	Spearman	SGCode	Archaea
UP000000674	0.6926329986856606	gc	spearman	Spearman	SGCode	Archaea
UP000006663	0.4895298205713	gc	spearman	Spearman	SGCode	Archaea
UP000001879	0.5989103817017923	gc	spearman	Spearman	SGCode	Archaea
UP000002199	0.6103399691388495	gc	spearman	Spearman	SGCode	Archaea
UP000002518	0.7055865311143253	gc	spearman	Spearman	SGCode	Archaea
UP000001015	0.4815666173480061	gc	spearman	Spearman	SGCode	Archaea
UP000001304	0.7040625861227178	gc	spearman	Spearman	SGCode	Archaea
UP000000536	0.5318568020710573	gc	spearman	Spearman	SGCode	Archaea
UP000006681	0.7279574531688546	gc	spearman	Spearman	SGCode	Archaea
UP000001901	0.6126258866262608	gc	spearman	Spearman	SGCode	Archaea
UP000000740	0.6263413915507294	gc	spearman	Spearman	SGCode	Archaea
UP000002593	0.6697738238115465	gc	spearman	Spearman	SGCode	Archaea
UP000008243	0.6331991440129637	gc	spearman	Spearman	SGCode	Archaea
UP000001018	0.675107631282173	gc	spearman	Spearman	SGCode	Archaea
UP000002315	0.4328003776165624	gc	spearman	Spearman	SGCode	Archaea
