Prot_Tax_ID	Coefficient	Correlation	Comparison	Kingdom
UP000000262_453591	0.4905114715879726	Kendall	code	Archaea
UP000001024_273075	0.4537231112188747	Kendall	code	Archaea
UP000000740_416348	0.5272998319570706	Kendall	code	Archaea
UP000002457_521011	0.6008765526952665	Kendall	code	Archaea
UP000000554_64091	0.5395626187467699	Kendall	code	Archaea
UP000000346_666510	0.6744532734334624	Kendall	code	Archaea
UP000006794_797210	0.5272998319570706	Kendall	code	Archaea
UP000008243_309800	0.5272998319570706	Kendall	code	Archaea
UP000005877_1110509	0.6376649130643645	Kendall	code	Archaea
UP000002071_519442	0.4414603244291754	Kendall	code	Archaea
UP000000365_410358	0.5272998319570706	Kendall	code	Archaea
UP000001879_547559	0.4414603244291754	Kendall	code	Archaea
UP000000578_228908	0.3433580301115809	Kendall	code	Archaea
UP000001304_583356	0.4782486847982733	Kendall	code	Archaea
UP000000792_436308	0.4046719640600774	Kendall	code	Archaea
UP000006565_679926	0.5640881923261686	Kendall	code	Archaea
UP000000391_644295	0.3678836036909795	Kendall	code	Archaea
UP000001901_572546	0.4537231112188747	Kendall	code	Archaea
UP000001400_439481	0.3065696697424829	Kendall	code	Archaea
UP000006622_679901	0.4537231112188747	Kendall	code	Archaea
UP000001059_547558	0.4169347508497767	Kendall	code	Archaea
UP000002199_224325	0.4537231112188747	Kendall	code	Archaea
UP000007490_877455	0.2693821059300161	Kendall	code	Archaea
UP000000590_267377	0.3556208169012801	Kendall	code	Archaea
UP000001931_339860	0.3678836036909795	Kendall	code	Archaea
UP000001068_765177	0.4751024220065276	Kendall	code	Archaea
UP000005223_187420	0.4905114715879726	Kendall	code	Archaea
UP000001488_593117	0.4537231112188747	Kendall	code	Archaea
UP000002487_188937	0.5150370451673713	Kendall	code	Archaea
UP000006663_469382	0.3852492549207439	Kendall	code	Archaea
UP000000805_243232	0.2820440961630843	Kendall	code	Archaea
UP000009079_604354	0.3678836036909795	Kendall	code	Archaea
UP000002315_523846	0.3433580301115809	Kendall	code	Archaea
UP000000641_368408	0.6008765526952665	Kendall	code	Archaea
UP000001137_397948	0.5640881923261686	Kendall	code	Archaea
UP000007722_456320	0.3310952433218815	Kendall	code	Archaea
UP000001686_374847	0.5518254055364692	Kendall	code	Archaea
UP000002518_272557	0.6254021262746651	Kendall	code	Archaea
UP000002376_633148	0.5272998319570706	Kendall	code	Archaea
UP000009227_880724	0.362707964168631	Kendall	code	Archaea
UP000001941_323259	0.6131393394849658	Kendall	code	Archaea
UP000007807_990316	0.512971540511845	Kendall	code	Archaea
UP000002593_415426	0.5886137659055671	Kendall	code	Archaea
UP000000663_351160	0.465985898008574	Kendall	code	Archaea
UP000001013_186497	0.3678836036909795	Kendall	code	Archaea
UP000002613_589924	0.3801463904806788	Kendall	code	Archaea
UP000001746_485914	0.4905114715879726	Kendall	code	Archaea
UP000014070_1295009	0.3015351409034845	Kendall	code	Archaea
UP000002408_456442	0.5518254055364692	Kendall	code	Archaea
UP000001974_273057	0.4169347508497767	Kendall	code	Archaea
UP000012076_1054217	0.3686060413765165	Kendall	code	Archaea
UP000012672_1236689	0.3633526079986264	Kendall	code	Archaea
UP000001015_273063	0.3924091772703781	Kendall	code	Archaea
