Archaea	Bacteria	Eukaryotes	Viruses
	3.0	8.0	3.0
	3.0	4.0	3.0
	203.0	3.0	9.0
	204.0	88.0	5.0
	1.0	577.0	6.0
	284.0	18.0	75.0
	760.0	109.0	6.0
	7.0	240.0	12.0
	1.0	2.0	1.0
	203.0	4161.0	1.0
	438.0	399.0	10.0
	1.0	400.0	5.0
	221.0	3.0	1.0
	147.0	7.0	150.0
	191.0	2.0	3.0
	1.0	13.0	7.0
	2.0	1.0	1.0
	1.0	880.0	4.0
	1.0	18.0	1.0
	194.0	1.0	2.0
	1.0	5112.0	5.0
	1.0	21.0	5.0
	1.0	3.0	1.0
	1.0	2.0	63.0
	427.0	1.0	4.0
	573.0	141.0	3.0
	249.0	88.0	1.0
	1.0	2.0	7.0
	3.0	1.0	2.0
	275.0	6.0	4.0
	1.0	16.0	8.0
	333.0	6.0	2.0
	276.0	1.0	3.0
	130.0	1.0	9.0
	189.0	8039.0	3.0
	452.0	3.0	6.0
	1.0	1.0	4.0
	1.0	74.0	3.0
	737.0	82.0	8.0
	6.0	20.0	5.0
	440.0	1.0	2.0
	602.0	363.0	5.0
	325.0	7.0	6.0
	266.0	3.0	6.0
	2024.0	1677.0	5.0
	232.0	1.0	9.0
	215.0	22.0	250.0
	294.0	25.0	8.0
	283.0	97.0	8.0
	362.0	32.0	2.0
	246.0	935.0	1.0
	251.0	5.0	3.0
	87.0	35.0	21.0
	221.0	7.0	2.0
	414.0	2.0	12.0
	1691.0	19.0	1.0
	343.0	3.0	2.0
	805.0	68.0	72.0
	416.0	1.0	3.0
	250.0	3.0	155.0
	264.0	6.0	4.0
	280.0	351.0	3.0
	155.0	86.0	1.0
	272.0	361.0	4.0
	1.0	48.0	1.0
	322.0	108.0	1.0
	1.0	20.0	1.0
	246.0	463.0	4.0
	378.0	36.0	1.0
	5.0	16.0	2.0
	468.0	1.0	5.0
	169.0	391.0	4.0
	3.0	6.0	2.0
	1.0	352.0	1.0
	5.0	47.0	7.0
	10.0	7.0	8.0
	1.0	9.0	4.0
	2.0	1.0	5.0
	462.0	151.0	7.0
	2.0	3.0	1.0
	295.0	11.0	3.0
	1.0	4.0	5.0
	314.0	156.0	2.0
	12.0	93.0	3.0
	352.0	1.0	1.0
	1.0	4.0	3.0
	275.0	20.0	2.0
	279.0	1.0	9.0
	410.0	29.0	1.0
	453.0	1.0	13.0
	293.0	1351.0	6.0
	4.0	14.0	12.0
	313.0	3.0	157.0
	394.0	5.0	3.0
	460.0	1.0	1.0
	543.0	1.0	2.0
	276.0	14.0	10.0
	296.0	1.0	5.0
	404.0	8.0	17.0
	444.0	4.0	3.0
	1.0	46.0	7.0
	12.0	1.0	3.0
	78.0	1.0	3.0
	1.0	33.0	57.0
	2.0	66.0	1.0
	1.0	2.0	10.0
	1.0	100.0	7.0
	996.0	225.0	4.0
	11.0	1.0	1.0
	4.0	167.0	1.0
	5.0	3441.0	6.0
	1.0	15.0	12.0
	1.0	72.0	1.0
	139.0	4.0	3.0
	305.0	3.0	4.0
	341.0	666.0	5.0
	3.0	1.0	6.0
	1.0	9.0	43.0
	3.0	2.0	4.0
	25.0	2.0	2.0
	519.0	3.0	1.0
	94.0	3.0	32.0
	366.0	7.0	8.0
	284.0	1.0	10.0
	2.0	5.0	5.0
	1.0	12.0	6.0
	341.0	13.0	5.0
	1.0	1.0	1.0
	258.0	167.0	11.0
	5.0	1.0	32.0
	1.0	2.0	4.0
	277.0	5.0	12.0
	506.0	3.0	1.0
	7.0	35.0	1.0
	1.0	10.0	3.0
	284.0	5.0	2.0
	820.0	7.0	2.0
	240.0	12.0	6.0
	1.0	273.0	7.0
	371.0	11.0	26.0
	1.0	12.0	6.0
	602.0	2.0	6.0
	491.0	1.0	44.0
	290.0	2.0	27.0
	242.0	1.0	1.0
	218.0	4.0	5.0
	1.0	114.0	2.0
	752.0	69.0	6.0
	1.0	153.0	18.0
	4.0	1.0	9.0
	2.0	14.0	1.0
	507.0	218.0	12.0
	1.0	39.0	2.0
	1.0	1.0	2.0
	327.0	6.0	6.0
	4.0	5.0	4.0
	151.0	277.0	2.0
	16.0	10.0	9.0
	4.0	10.0	11.0
	2.0	10.0	6.0
	353.0	7.0	4.0
	321.0	2.0	5.0
