	P	A	V	K	Q	H	I	N	D	L	G	C	R	S	W	Y	M	E	F	T	X	U	B	Z
91	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	2.0	1.0	0.0	1.0	1.0	2.0	2.0	0.0	0.0	0.0	56.0	0.0	0.0	0.0
92	1.0	0.0	1.0	2.0	1.0	1.0	0.0	1.0	3.0	5.0	2.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	3.0	41.0	0.0	0.0	0.0
93	2.0	1.0	1.0	0.0	3.0	0.0	0.0	2.0	0.0	9.0	5.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	42.0	0.0	0.0	0.0
94	0.0	0.0	1.0	0.0	2.0	1.0	2.0	0.0	3.0	12.0	2.0	0.0	0.0	2.0	0.0	0.0	1.0	1.0	0.0	2.0	49.0	0.0	0.0	0.0
95	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	5.0	3.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	2.0	42.0	0.0	0.0	0.0
96	0.0	0.0	6.0	0.0	0.0	1.0	1.0	0.0	1.0	4.0	2.0	0.0	0.0	2.0	0.0	1.0	2.0	1.0	0.0	0.0	40.0	0.0	0.0	0.0
97	2.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	8.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	1.0	39.0	0.0	0.0	0.0
98	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	6.0	6.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	4.0	37.0	0.0	0.0	0.0
99	1.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	2.0	6.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	50.0	0.0	0.0	0.0
100	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	38.0	0.0	0.0	0.0
101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	4.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	28.0	0.0	0.0	0.0
102	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	31.0	0.0	0.0	0.0
103	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0	0.0	1.0	0.0	2.0	2.0	0.0	0.0	1.0	23.0	0.0	0.0	0.0
104	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	5.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0	0.0	0.0	0.0
105	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	2.0	35.0	0.0	0.0	0.0
106	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	5.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0
107	0.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0	1.0	3.0	2.0	0.0	0.0	1.0	1.0	0.0	0.0	2.0	0.0	0.0	26.0	0.0	0.0	0.0
108	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	2.0	23.0	0.0	0.0	0.0
109	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	6.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	40.0	0.0	0.0	0.0
110	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	6.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0
111	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0
112	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0
113	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	38.0	0.0	0.0	0.0
114	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	31.0	0.0	0.0	0.0
115	0.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0	2.0	4.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	30.0	0.0	0.0	0.0
116	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	25.0	0.0	0.0	0.0
117	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	3.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	2.0	34.0	0.0	0.0	0.0
118	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	35.0	0.0	0.0	0.0
119	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	4.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	23.0	0.0	0.0	0.0
120	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	4.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	27.0	0.0	0.0	0.0
121	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	18.0	0.0	0.0	0.0
