Archaea	Bacteria	Eukaryotes	Viruses
1258	3110	15466	110
806	4732	38034	286
2287	3513	15121	2
4930	4005	9079	14
1715	3418	4270	7
2488	4016	27403	3
1898	2138	10180	6
4358	2034	29003	4
1630	6276	13200	3
4027	3027	10451	6
	2301	10052	56
	6363	14632	208
	4725	49965	8
	243	11279	6
	4439	7118	2
	2946	3256	73
	1739	8990	277
	4361	4432	3
	2966	10493	3
	4251	7760	34
	2779	31857	9
	3813	10603	5
	3832	12784	3
	1341	13124	6
	4347	9876	4
	3583	9228	5
	3415	15461	10
	4514	2499	54
	3353	5254	91
	1214	8900	59
	1199	8811	50
	1684	12848	41
	3701	8616	179
	2269	6968	120
	2232	15349	1
	4220	10959	7
	7804	8651	159
	5019	6602	2
	4390	33991	68
	4771	6930	40
	2831	11848	68
	3819	13202	207
	3675	7976	6
	5412	9977	58
	2638	10566	2
	3321	3213	6
	2002	15010	7
	3778	19141	3
	4354	23328	43
	2969	5650	1
	4573	11497	2
	2257	12707	72
	2047	13357	269
	1729	13822	2
	4359	6027	48
	2252	26032	3
	2938	12706	6
	3750	13606	2
	4118	15115	12
	1653	2041	137
	3459	7761	46
	2158	22263	26
	3092	8694	2
	1843	9813	50
	5562	11461	54
	3936	3200	5
	3705	2709	69
	3891	11497	3
	2309	8404	3
	1293	23744	13
	3935	13417	11
	2181	9322	2
	1856	5260	1
	5019	14258	62
	1592	14904	32
	2325	10703	3
	5329	5797	61
	2609	23612	65
	1017	15265	1
	3649	8686	265
	4911	10118	2
	3785	20766	5
	4603	9993	3
	2650	20008	46
	3351	14635	7
	4958	17526	3
	5779	8049	2
	1525	11038	7
	2245	24199	58
	7706	10469	8
	1618	11840	84
	1717	14132	2
	2412	9112	3
	2330	21351	1
	2260	23017	2
	1847	10629	2
	832	30264	2
	2004	5620	3
	1769	19184	91
	2480	9230	2
	3802	14333	4
	4068	11060	89
	5489	11518	107
	1610	14484	35
	2787	13704	58
	4192	9263	8
	1876	11178	2
	1734	5932	66
	4718	3778	27
	5663	2093	69
	2835	10165	13
	4782	10792	8
	2202	11770	9
	1794	8821	132
	5473	38980	57
	2631	17379	59
	4509	12347	6
	3263	16595	10
	4340	11419	237
	4187	6341	8
	4650	6907	2
	5458	10773	7
	3167	7926	8
	10019	22400	7
	3324	7183	276
	3240	26760	243
	4335	11705	6
	1433	16489	86
	1934	8017	8
	4249	10054	2
	6000	12679	391
	3629	12047	2
	1846	15510	2
	3294	7979	15
	3566	2060	1
	1871	21221	5
	2375	18205	1
	2718	14230	47
	4594	14641	2
	2120	16237	4
	4904	39870	2
	2102	4966	86
	2311	13759	8
	2839	13743	2
	5722	7903	6
	6164	15412	57
	1493	8277	214
	3183	12436	6
	3964	13805	2
	6559	15449	105
	2216	20761	2
	5238	8311	3
	2850	15890	42
	2924	7223	198
	3062	10233	376
	2871	3576	5
	7126	26712	1
	1834	11880	5
	7464	19349	72
	7079	5744	88
	761	9986	89
	2848	6442	142
	1527	20403	54
	3400	6452	2
	5501	18044	4
	2752	21374	1
	5035	12152	5
	5540	5238	204
	8128	13175	10
	3506	10919	99
	1412	9395	239
	1376	9153	81
	825	19288	2
	1872	17675	186
	642	19727	51
	3872	4883	4
	3480	6462	2
	3313	39903	2
	3671	5135	66
	1426	13515	2
	5007	9624	49
	2640	17633	3
	3824	6725	166
