Archaea	Bacteria	Eukaryotes	Viruses
1736.0	4686.0	18960.0	2.0
2328.0	4045.0	19243.0	12.0
3699.0	4697.0	9137.0	8.0
4339.0	3557.0	2428.0	29.0
3428.0	3918.0	5313.0	50.0
2334.0	3545.0	15136.0	44.0
3607.0	3287.0	11684.0	38.0
2460.0	4620.0	9574.0	64.0
2225.0	10924.0	18387.0	9.0
3054.0	2819.0	16331.0	2.0
2340.0	4460.0	15709.0	6.0
3377.0	1812.0	5339.0	8.0
3119.0	3831.0	14201.0	51.0
559.0	5656.0	3162.0	4.0
2711.0	8172.0	12851.0	7.0
4602.0	1819.0	21895.0	4.0
1961.0	4497.0	8610.0	3.0
2257.0	1962.0	21612.0	7.0
2532.0	2029.0	14792.0	128.0
3734.0	3120.0	12525.0	68.0
2410.0	4751.0	7899.0	57.0
3149.0	3126.0	12019.0	1.0
6274.0	1864.0	26721.0	3.0
2858.0	1652.0	13334.0	6.0
3065.0	5936.0	22999.0	9.0
1527.0	3805.0	7484.0	2.0
3354.0	1709.0	34928.0	4.0
3852.0	3252.0	7365.0	9.0
1903.0	2517.0	11404.0	3.0
2453.0	5305.0	4758.0	5.0
3933.0	3342.0	5988.0	94.0
3864.0	2252.0	9785.0	4.0
1881.0	9137.0	14257.0	6.0
3135.0	3859.0	10246.0	66.0
3224.0	2828.0	9362.0	57.0
1835.0	3101.0	5046.0	2.0
2818.0	1720.0	16167.0	4.0
2255.0	2202.0	15688.0	524.0
2237.0	3353.0	28034.0	2.0
1581.0	2027.0	17947.0	189.0
1766.0	5797.0	6282.0	9.0
3795.0	4195.0	16568.0	2.0
1537.0	2776.0	11478.0	894.0
3662.0	4059.0	11618.0	2.0
1246.0	7314.0	10365.0	41.0
3559.0	3148.0	14619.0	4.0
3448.0	2048.0	9890.0	221.0
2921.0	1709.0	4650.0	6.0
1556.0	3633.0	8667.0	2.0
3752.0	2348.0	14253.0	72.0
1717.0	4708.0	7959.0	3.0
2433.0	1708.0	13097.0	9.0
474.0	4459.0	18109.0	11.0
3303.0	5229.0	4022.0	4.0
3185.0	2363.0	13448.0	4.0
3245.0	5616.0	16171.0	257.0
4165.0	3161.0	7225.0	79.0
2099.0	3077.0	10420.0	1.0
1763.0	1687.0	8539.0	4.0
4473.0	3028.0	1613.0	4.0
2946.0	6447.0	58535.0	2.0
2452.0	2439.0	18446.0	77.0
3425.0	3054.0	19810.0	83.0
3110.0	2151.0	34229.0	2.0
3626.0	3616.0	35706.0	9.0
2609.0	6200.0	39461.0	2.0
3455.0	3620.0	5354.0	4.0
3817.0	4691.0	10675.0	72.0
2712.0	6940.0	2787.0	199.0
2859.0	3828.0	13489.0	2.0
2983.0	2001.0	4836.0	2.0
